date, value
01-10-1995,17.1231
01-11-1995,17.826
01-12-1995,18.1369
01-01-1996,18.6845
01-02-1996,18.814
01-03-1996,18.963
01-04-1996,18.7388
01-05-1996,19.167
01-06-1996,19.2103
01-07-1996,17.7764
01-08-1996,18.1108
01-09-1996,19.0925
01-10-1996,18.2099
01-11-1996,19.5461
01-12-1996,19.1257
01-01-1997,19.5368
01-02-1997,19.6526
01-03-1997,18.8151
01-04-1997,19.7618
01-05-1997,20.9194
01-06-1997,21.8284
01-07-1997,23.482
01-08-1997,22.1326
01-09-1997,23.3091
01-10-1997,23.0267
01-11-1997,24.0534
01-12-1997,24.4318
01-01-1998,24.7921
01-02-1998,26.5387
01-03-1998,27.8642
01-04-1998,28.5284
01-05-1998,27.9913
01-06-1998,29.0952
01-07-1998,29.4216
01-08-1998,25.1321
01-09-1998,26.7002
01-10-1998,29.1347
01-11-1998,30.8573
01-12-1998,32.5969
01-01-1999,33.3413
01-02-1999,32.265
01-03-1999,33.5167
01-04-1999,32.5495
01-05-1999,31.7367
01-06-1999,33.4644
01-07-1999,30.2257
01-08-1999,30.0366
01-09-1999,29.179
01-10-1999,28.2942
01-11-1999,28.8335
01-12-1999,30.5013
01-01-2000,27.3692
01-02-2000,26.8188
01-03-2000,29.4128
01-04-2000,27.9744
01-05-2000,27.3613
01-06-2000,28.0162
01-07-2000,26.6449
01-08-2000,28.2622
01-09-2000,26.7507
01-10-2000,28.588
01-11-2000,26.299
01-12-2000,26.4056
01-01-2001,30.0618
01-02-2001,27.2874
01-03-2001,25.5354
01-04-2001,33.9619
01-05-2001,34.1348
01-06-2001,33.2802
01-07-2001,42.7845
01-08-2001,40.0417
01-09-2001,36.7693
01-10-2001,42.9235
01-11-2001,46.1503
01-12-2001,46.4998
01-01-2002,45.7571
01-02-2002,44.8069
01-03-2002,46.453
01-04-2002,40.2737
01-05-2002,39.908
01-06-2002,37.0165
01-07-2002,30.3469
01-08-2002,30.495
01-09-2002,27.1398
01-10-2002,32.1044
01-11-2002,33.9366
01-12-2002,31.8891
01-01-2003,28.2223
01-02-2003,27.7424
01-03-2003,27.9743
01-04-2003,26.5389
01-05-2003,27.8897
01-06-2003,28.2055
01-07-2003,25.669
01-08-2003,26.1278
01-09-2003,25.8157
01-10-2003,21.5574
01-11-2003,21.7111
01-12-2003,22.8133
01-01-2004,21.7525
01-02-2004,22.0181
01-03-2004,21.6579
01-04-2004,19.7204
01-05-2004,19.9587
01-06-2004,20.3177
01-07-2004,19.0708
01-08-2004,19.1144
01-09-2004,19.2934
01-10-2004,19.3032
01-11-2004,20.0482
01-12-2004,20.6989
01-01-2005,19.5834
01-02-2005,19.9536
01-03-2005,19.5721
01-04-2005,18.2584
01-05-2005,18.8052
01-06-2005,18.8026
01-07-2005,18.5396
01-08-2005,18.3315
01-09-2005,18.4589
01-10-2005,17.2603
01-11-2005,17.8676
01-12-2005,17.8506
01-01-2006,17.615
01-02-2006,17.623
01-03-2006,17.8185
01-04-2006,17.5944
01-05-2006,17.0505
01-06-2006,17.052
