prediction;test_price
124.92;153.04
123.97;155.35
125.27;154.09
127.0;152.95
130.92;151.6
133.63;156.79
135.94;157.35
139.4;162.51
140.42;161.51
139.23;160.01
141.89;166.13
143.0;165.81
144.78;165.35
148.76;164.87
147.64;164.92
145.94;169.24
148.79;168.49
151.16;172.1
153.12;173.19
153.68;173.03
153.48;174.55
153.99;174.15
156.38;171.52
159.05;167.57
159.07;167.23
156.84;167.53
157.36;170.03
159.13;163.62
159.32;161.38
159.95;158.91
157.72;157.22
159.16;157.96
161.4;155.81
160.93;154.53
160.29;155.96
159.35;154.46
156.83;157.37
158.31;163.43
157.72;153.84
159.05;155.31
158.69;152.37
157.02;150.7
154.27;154.48
153.14;156.9
152.46;153.72
152.82;152.74
149.0;150.43
146.41;150.77
148.0;151.76
145.71;149.84
142.45;142.48
140.87;138.2
138.25;142.45
136.51;146.1
134.77;146.4
135.48;145.43
137.01;140.09
137.51;140.42
134.85;138.98
135.07;138.34
135.87;142.99
132.65;138.38
130.85;142.41
129.25;143.75
128.94;143.86
128.15;143.39
129.91;147.27
128.26;149.45
129.88;152.34
131.01;149.35
130.04;144.8
131.38;155.74
130.96;153.34
130.65;150.65
130.68;145.03
132.52;138.88
132.58;138.38
128.85;138.92
128.95;139.5
131.19;134.87
132.04;146.87
129.45;149.7
131.14;148.28
131.24;150.04
131.16;148.79
130.08;150.72
131.98;151.29
131.95;148.01
130.51;150.18
131.86;151.07
129.24;148.11
131.45;144.22
131.02;141.17
131.32;148.03
133.61;148.31
135.16;147.81
132.89;146.63
132.09;142.91
131.52;140.94
131.01;142.65
134.41;142.16
134.47;144.49
135.71;145.47
134.49;143.21
135.49;136.5
136.12;134.51
133.89;132.37
129.7;132.3
127.82;135.45
128.1;132.23
128.07;131.86
128.16;130.03
126.99;126.04
128.29;129.61
125.69;129.93
124.79;125.07
121.78;126.36
121.53;125.02
116.08;129.62
116.74;130.15
117.8;130.73
118.65;133.49
119.05;133.41
117.21;134.76
116.56;135.94
113.76;135.21
115.41;135.27
115.33;137.87
114.63;141.11
116.24;142.53
117.42;141.86
119.12;143.96
121.39;145.93
120.66;143.0
119.92;144.29
121.91;145.43
122.56;150.82
124.18;154.5
125.94;151.73
125.81;154.65
128.36;151.92
131.5;150.87
130.41;151.01
130.99;153.85
132.54;153.2
135.67;155.33
137.79;153.71
137.08;152.55
138.5;148.48
139.8;148.91
138.82;149.4
139.66;146.71
140.6;147.92
138.39;147.41
140.24;145.31
140.33;145.91
141.95;151.03
142.44;153.83
141.47;151.6
143.63;152.87
146.42;150.59
144.85;148.5
141.69;150.47
140.99;152.59
145.12;152.99
146.53;155.85
146.64;155.0
145.88;157.4
144.02;159.28
145.49;157.83
145.08;158.93
146.91;160.25
144.77;158.28
145.59;157.65
144.61;160.77
145.84;162.36
149.4;164.9
152.17;166.17
152.62;165.63
153.35;163.76
153.26;164.66
154.6;162.03
154.85;160.8
155.38;160.1
155.96;165.56
159.08;165.21
158.63;165.23
160.94;166.47
161.68;167.63
162.57;166.65
164.41;165.02
165.26;165.33
167.3;163.77
164.84;163.76
167.78;168.41
167.09;169.68
168.26;169.59
167.43;168.54
167.35;167.45
165.45;165.79
164.78;173.57
167.21;173.5
169.61;171.77
170.6;173.56
170.34;173.75
168.8;172.57
168.1;172.07
168.28;172.07
169.29;172.69
168.7;175.05
167.6;175.16
169.89;174.2
169.21;171.56
169.03;171.84
168.96;172.99
169.13;175.43
168.72;177.3
172.4;177.25
172.76;180.09
172.07;180.95
173.3;179.58
172.98;179.21
172.62;177.82
174.8;180.57
173.04;180.96
173.18;183.79
173.31;183.31
174.14;183.95
174.9;186.01
175.81;184.92
176.11;185.01
175.78;183.96
177.44;187.0
177.24;186.68
176.64;185.27
177.33;188.06
181.56;189.25
182.13;189.59
184.12;193.97
184.07;192.46
183.84;191.33
185.67;191.81
186.27;190.68
187.08;188.61
187.08;188.08
188.04;189.77
189.83;190.54
189.73;190.69
190.25;193.99
190.1;193.73
190.63;195.1
191.27;193.13
193.38;191.94
192.79;192.75
192.42;193.62
194.15;194.5
194.75;193.22
195.1;195.83
195.4;196.45
196.16;195.61
197.79;192.58
196.7;191.17
195.15;181.99
194.45;178.85
195.61;179.8
194.49;178.19
195.21;177.97
195.27;177.79
193.39;179.46
190.55;177.45
188.86;176.57
188.2;174.0
186.38;174.49
183.89;175.84
183.54;177.23
183.46;181.12
