,Date,AAPL,AAPL.1,AAPL.2,AAPL.3,AAPL.4
0,,Open,High,Low,Close,Adj Close
144,2010-06-27 0:00,,,,,
145,2010-06-28 0:00,9.533213615,9.633929253,9.447142601,9.58214283,8.144270897
146,2010-06-29 0:00,9.43285656,9.442500114,9.08214283,9.148928642,7.776063919
147,2010-06-30 0:00,9.168213844,9.213213921,8.928929329,8.983214378,7.63521719
148,2010-07-01 0:00,9.08214283,9.100000381,8.686429024,8.874285698,7.542635918
149,2010-07-02 0:00,8.946070671,8.96178627,8.685713768,8.819286346,7.495887756
150,2010-07-04 0:00,,,,,
151,2010-07-05 0:00,,,,,
152,2010-07-06 0:00,8.964285851,9.028571129,8.791428566,8.87964344,7.547188759
153,2010-07-07 0:00,8.946070671,9.241786003,8.919643402,9.238213539,7.851950645
154,2010-07-08 0:00,9.374285698,9.389286041,9.103214264,9.217499733,7.834344864
155,2010-07-09 0:00,9.174642563,9.282142639,9.112856865,9.272143364,7.880793095
156,2010-07-11 0:00,,,,,
157,2010-07-12 0:00,9.233214378,9.35178566,9.102143288,9.188928604,7.810062885
158,2010-07-13 0:00,9.154286385,9.157142639,8.801071167,8.992856979,7.643415928
159,2010-07-14 0:00,8.906429291,9.135713577,8.892856598,9.026070595,7.671644211
160,2010-07-15 0:00,8.865357399,9.177499771,8.83214283,8.98035717,7.632790089
161,2010-07-16 0:00,9.042142868,9.106071472,8.871786118,8.925000191,7.58574152
162,2010-07-18 0:00,,,,,
163,2010-07-19 0:00,8.924285889,8.924285889,8.557143211,8.770713806,7.454603195
164,2010-07-20 0:00,8.675000191,9.032142639,8.571785927,8.996070862,7.646142483
165,2010-07-21 0:00,9.467499733,9.469642639,9.071429253,9.079999924,7.717480659
166,2010-07-22 0:00,9.202857018,9.285714149,9.118213654,9.250714302,7.862578869
167,2010-07-23 0:00,9.181785583,9.299285889,9.152856827,9.283571243,7.890501976
168,2010-07-25 0:00,,,,,
169,2010-07-26 0:00,9.285714149,9.28928566,9.203928947,9.260000229,7.870470524
170,2010-07-27 0:00,9.316785812,9.45714283,9.29642868,9.431428909,8.016173363
171,2010-07-28 0:00,9.416786194,9.499643326,9.294643402,9.319999695,7.921467304
172,2010-07-29 0:00,9.311071396,9.380356789,9.146429062,9.218214035,7.834951878
173,2010-07-30 0:00,9.138929367,9.274999619,9.103570938,9.1875,7.808846951
174,2010-08-01 0:00,,,,,
175,2010-08-02 0:00,9.301428795,9.378213882,9.272143364,9.35178566,7.948481083
176,2010-08-03 0:00,9.321785927,9.402142525,9.265000343,9.354642868,7.950908184
177,2010-08-04 0:00,9.387143135,9.438570976,9.296786308,9.39214325,7.982783794
178,2010-08-05 0:00,9.347499847,9.39928627,9.305356979,9.346428871,7.943929672
179,2010-08-06 0:00,9.277856827,9.338929176,9.201070786,9.288928986,7.895057678
180,2010-08-08 0:00,,,,,
181,2010-08-09 0:00,9.338570595,9.362500191,9.270357132,9.348214149,7.945448875
182,2010-08-10 0:00,9.280357361,9.301786423,9.198213577,9.264642715,7.874415874
183,2010-08-11 0:00,9.121429443,9.131786346,8.921786308,8.935357094,7.594542503
184,2010-08-12 0:00,8.810357094,9.03928566,8.789999962,8.992500305,7.643110752
185,2010-08-13 0:00,8.987500191,8.995714188,8.896071434,8.896429062,7.561454773
186,2010-08-15 0:00,,,,,
187,2010-08-16 0:00,8.842143059,8.928929329,8.80785656,8.844285965,7.51713562
188,2010-08-17 0:00,8.931428909,9.093929291,8.899999619,8.998929024,7.648575306
189,2010-08-18 0:00,9.012857437,9.095356941,8.984999657,9.03821373,7.681964397
190,2010-08-19 0:00,9.029999733,9.052857399,8.881428719,8.924285889,7.585133076
191,2010-08-20 0:00,8.906785965,9.068571091,8.892856598,8.915714264,7.577847004
192,2010-08-22 0:00,,,,,
193,2010-08-23 0:00,8.992500305,9,8.758929253,8.778571129,7.461283684
194,2010-08-24 0:00,8.666786194,8.678570747,8.52321434,8.568928719,7.283097744
195,2010-08-25 0:00,8.501428604,8.713929176,8.471428871,8.674642563,7.372948647
196,2010-08-26 0:00,8.76607132,8.776785851,8.581428528,8.581428528,7.293720245
197,2010-08-27 0:00,8.633929253,8.664643288,8.412857056,8.629285812,7.334397316
198,2010-08-29 0:00,,,,,
199,2010-08-30 0:00,8.598570824,8.776785851,8.595713615,8.660714149,7.361111164
200,2010-08-31 0:00,8.637499809,8.734286308,8.583929062,8.682143211,7.379324913
201,2010-09-01 0:00,8.838213921,8.980713844,8.795714378,8.940357208,7.59879303
202,2010-09-02 0:00,8.973570824,9.006071091,8.87749958,9.006071091,7.654643059
203,2010-09-03 0:00,9.110357285,9.242142677,9.089285851,9.241786003,7.854990959
204,2010-09-05 0:00,,,,,
205,2010-09-06 0:00,,,,,
206,2010-09-07 0:00,9.165714264,9.268928528,9.151785851,9.207500458,7.825850487
207,2010-09-08 0:00,9.277856827,9.442500114,9.253570557,9.390000343,7.980963707
208,2010-09-09 0:00,9.465714455,9.5185709,9.390000343,9.395357132,7.985515118
209,2010-09-10 0:00,9.399642944,9.446429253,9.33571434,9.407500267,7.995834351
210,2010-09-12 0:00,,,,,
211,2010-09-13 0:00,9.493571281,9.581428528,9.491429329,9.537142754,8.106025696
212,2010-09-14 0:00,9.507499695,9.613213539,9.48285675,9.573571205,8.136990547
213,2010-09-15 0:00,9.577500343,9.656429291,9.565713882,9.650713921,8.202554703
214,2010-09-16 0:00,9.651429176,9.881071091,9.625,9.87749958,8.395310402
215,2010-09-17 0:00,9.917499542,9.927143097,9.77428627,9.834643364,8.358884811
216,2010-09-19 0:00,,,,,
217,2010-09-20 0:00,9.859999657,10.13500023,9.85178566,10.1153574,8.597476959
218,2010-09-21 0:00,10.13785744,10.26249981,10.09964275,10.1346426,8.61386776
219,2010-09-22 0:00,10.09678555,10.28499985,10.08607101,10.27678585,8.734681129
220,2010-09-23 0:00,10.22607136,10.45571423,10.21428585,10.31857109,8.770195007
221,2010-09-24 0:00,10.43214321,10.48321438,10.37678623,10.43999958,8.873403549
222,2010-09-26 0:00,,,,,
223,2010-09-27 0:00,10.4992857,10.52607059,10.39321423,10.39857101,8.838189125
224,2010-09-28 0:00,10.42035675,10.42035675,9.821429253,10.24499989,8.707661629
225,2010-09-29 0:00,10.258214,10.35035706,10.21428585,10.26321411,8.723146439
226,2010-09-30 0:00,10.32142925,10.3571434,10.0446434,10.13392925,8.613259315
227,2010-10-01 0:00,10.21964264,10.23499966,10.04821396,10.09000015,8.575921059
228,2010-10-03 0:00,,,,,
229,2010-10-04 0:00,10.05714321,10.10357094,9.92035675,9.951429367,8.458146095
230,2010-10-05 0:00,10.07142925,10.33749962,10.06499958,10.31928635,8.770803452
231,2010-10-06 0:00,10.34249973,10.42821407,10.18785667,10.32821369,8.778388977
232,2010-10-07 0:00,10.36928558,10.3742857,10.24678612,10.32928562,8.779301643
233,2010-10-08 0:00,10.41821384,10.5178566,10.3571434,10.50249958,8.926524162
234,2010-10-10 0:00,,,,,
235,2010-10-11 0:00,10.52642918,10.61571407,10.52142906,10.54857063,8.965683937
236,2010-10-12 0:00,10.55035686,10.69642925,10.44607067,10.66214275,9.062209129
237,2010-10-13 0:00,10.72142887,10.78428555,10.70714283,10.71928596,9.110777855
238,2010-10-14 0:00,10.77464294,10.80249977,10.72857094,10.79678631,9.176651955
239,2010-10-15 0:00,10.97999954,11.25,10.88964272,11.24071407,9.553959846
240,2010-10-17 0:00,,,,,
241,2010-10-18 0:00,11.37392902,11.3928566,11.22464275,11.3571434,9.652918816
242,2010-10-19 0:00,10.83571434,11.2060709,10.71500015,11.05321407,9.394599915
243,2010-10-20 0:00,11.03571415,11.22321415,10.95964336,11.09035683,9.426168442
244,2010-10-21 0:00,11.15571404,11.24071407,10.95714283,11.054286,9.395508766
245,2010-10-22 0:00,11.03821373,11.0728569,10.93928623,10.98107147,9.333285332
246,2010-10-24 0:00,,,,,
247,2010-10-25 0:00,11.03892899,11.12857056,11.01571369,11.02999973,9.374868393
248,2010-10-26 0:00,10.95964336,11.06214333,10.91607094,11.00178623,9.350889206
249,2010-10-27 0:00,10.98750019,11.06785679,10.91428566,10.99392891,9.344210625
250,2010-10-28 0:00,10.99821377,11,10.74642944,10.90142918,9.265591621
251,2010-10-29 0:00,10.8653574,10.92428589,10.74535656,10.7492857,9.136276245
252,2010-10-31 0:00,,,,,
253,2010-11-01 0:00,10.79357147,10.91428566,10.79285717,10.86357117,9.233412743
254,2010-11-02 0:00,10.96428585,11.07821369,10.96428585,11.04857063,9.390650749
255,2010-11-03 0:00,11.12035656,11.17428589,11.01892853,11.17142868,9.495072365
256,2010-11-04 0:00,11.26607132,11.43500042,11.25107098,11.366786,9.661115646
257,2010-11-05 0:00,11.35678577,11.41321373,11.3125,11.32607079,9.626511574
258,2010-11-07 0:00,,,,,
259,2010-11-08 0:00,11.32857132,11.42035675,11.31285667,11.37928581,9.671741486
260,2010-11-09 0:00,11.46607113,11.47500038,11.2321434,11.28857136,9.594638824
261,2010-11-10 0:00,11.30857086,11.3846426,11.19821358,11.35821438,9.653830528
262,2010-11-11 0:00,11.25,11.37142944,11.22321415,11.30892944,9.611946106
263,2010-11-12 0:00,11.28571415,11.30357075,10.84392929,11.00107098,9.350279808
264,2010-11-14 0:00,,,,,
265,2010-11-15 0:00,11.01642895,11.09071445,10.9382143,10.96571445,9.320228577
266,2010-11-16 0:00,10.91857147,10.98571396,10.68999958,10.77107143,9.154797554
267,2010-11-17 0:00,10.75714302,10.85678577,10.63428593,10.7321434,9.121706009
268,2010-11-18 0:00,10.89999962,11.05964279,10.88178635,11.01535702,9.362421036
269,2010-11-19 0:00,10.99892902,11.01428604,10.90142918,10.95464325,9.310818672
270,2010-11-21 0:00,,,,,
271,2010-11-22 0:00,10.95285702,11.19142914,10.92392921,11.19142914,9.512073517
272,2010-11-23 0:00,11.08749962,11.13392925,10.94857121,11.02607059,9.371529579
273,2010-11-24 0:00,11.1428566,11.26428604,11.13392925,11.24285698,9.555786133
274,2010-11-25 0:00,,,,,
275,2010-11-26 0:00,11.20499992,11.34642887,11.17642879,11.25,9.561851501
276,2010-11-28 0:00,,,,,
277,2010-11-29 0:00,11.2678566,11.33857059,11.12071419,11.31678581,9.618621826
278,2010-11-30 0:00,11.1978569,11.22714329,11.10249996,11.11250019,9.444988251
279,2010-12-01 0:00,11.2596426,11.34821415,11.25,11.30000019,9.604351997
